backbone,env,status,sp_raw,sp_alpha_neg1,sp_alpha_pos2,sp_pow_alpha05,sp_pow_alpha2,sp_log,pe_pow_alpha05,pe_pow_alpha1,pe_pow_alpha2,pe_log
Qwen3-4B,HotpotQA,OK,-0.3272172302468129,0.3272172302468129,-0.3272172302468129,-0.3272172302468129,-0.3272172302468129,-0.3272172302468129,-0.20111286023064312,-0.13832716806607737,-0.08509780985731452,-0.3165075677655187
Qwen3-4B,APPS,OK,0.3174647541501023,-0.3174647541501023,0.3174647541501023,0.3174647541501023,0.3174647541501023,0.3174647541501023,0.27261157976345574,0.2033153972044178,0.08499687130612962,0.3052588967885223
Qwen3-4B,WebShop,OK,0.1326228155387269,-0.1326228155387269,0.1326228155387269,0.1326228155387269,0.1326228155387269,0.1326228155387269,0.12712302466710942,0.05081997146582547,0.008196030083059195,0.2383108395349264
Qwen3-4B,FEVER,OK,-0.11923198865661551,0.11923198865661551,-0.11923198865661551,-0.11923198865661551,-0.11923198865661551,-0.11923198865661551,-0.2282325417821934,-0.1864465303129138,-0.1397481869799257,-0.23993598174604566
Qwen3-4B,TWExpress,OK,-0.28977918484273585,0.28977918484273585,-0.28977918484273585,-0.28977918484273585,-0.28977918484273585,-0.28977918484273585,-0.3047563337188641,-0.3191019739940236,-0.2811100663219791,-0.2636679728550796
Qwen3-4B,Plancraft,OK,-0.015927642022637602,0.015927642022637602,-0.015927642022637602,-0.015927642022637602,-0.015927642022637602,-0.015927642022637602,-0.01857857066290413,-0.025245226663429456,-0.030756651550868534,-0.00988496429901825
Phi-3.5-mini,HotpotQA,OK,0.1842947351963789,-0.1842947351963789,0.1842947351963789,0.1842947351963789,0.1842947351963789,0.1842947351963789,0.16972157839134566,0.11937107271130391,0.04156572847515762,0.10701511227512561
Phi-3.5-mini,APPS,OK,-0.12891931713703264,0.12891931713703264,-0.12891931713703264,-0.12891931713703264,-0.12891931713703264,-0.12891931713703264,-0.16137948158285917,-0.19685779982480023,-0.19577626614938706,0.026721964238070335
Phi-3.5-mini,WebShop,OK,0.33493047582157776,-0.33493047582157776,0.33493047582157776,0.33493047582157776,0.33493047582157776,0.33493047582157776,0.3989168395240029,0.38361969516140726,0.3239206959640582,0.2957986993780873
Phi-3.5-mini,FEVER,OK,-0.15576197549536888,0.15576197549536888,-0.15576197549536888,-0.15576197549536888,-0.15576197549536888,-0.15576197549536888,-0.1529453579855107,-0.15826903575566467,-0.156273573863143,-0.048819935379493286
Phi-3.5-mini,TWExpress,DEAD,,,,,,,,,,
Phi-3.5-mini,Plancraft,DEAD,,,,,,,,,,
Llama-3.1-8B,HotpotQA,OK,-0.3455661284779553,0.3455661284779553,-0.3455661284779553,-0.3455661284779553,-0.3455661284779553,-0.3455661284779553,-0.33150615864473043,-0.34415237089398915,-0.3346331949972934,-0.2881234480247352
Llama-3.1-8B,APPS,OK,-0.24164306114565448,0.24164306114565448,-0.24164306114565448,-0.24164306114565448,-0.24164306114565448,-0.24164306114565448,-0.26624946940691985,-0.216513285090127,-0.14976106122258562,-0.3261256680998263
Llama-3.1-8B,WebShop,OK,0.28696168850300513,-0.28696168850300513,0.28696168850300513,0.28696168850300513,0.28696168850300513,0.28696168850300513,0.310218037110346,0.29760350193756746,0.2582859290302789,0.31018851388068475
Llama-3.1-8B,FEVER,OK,0.4279334752918619,-0.4279334752918619,0.4279334752918619,0.4279334752918619,0.4279334752918619,0.4279334752918619,0.4308215257412119,0.4807118229844266,0.5278057378624129,0.3540527050173372
Llama-3.1-8B,TWExpress,DEAD,,,,,,,,,,
Llama-3.1-8B,Plancraft,OK,-0.04098840452283364,0.04098840452283364,-0.04098840452283364,-0.04098840452283364,-0.04098840452283364,-0.04098840452283364,-0.013698022899550417,-0.02295661296146552,-0.035481999516378405,-0.0029787919109105533
