environment,method,success_rate,avg_rollouts_per_ep
fever,se_100cal_fb_c3_local,0.4867,2.7233
fever,proto,0.4350,0.9200
fever,se_c3_selcum_local,0.3883,1.1133
fever,se_online_decay_local,0.4983,2.9933
fever,se_c3_addcum_local,0.4000,1.3367
fever,se_online_fix_local,0.4700,2.4733
fever,principled_online,0.4125,1.2875
fever,principled_v2_optimistic,0.3917,0.9633
fever,principled_v2,0.3783,0.7250
fever,se_online_decay_ref_local,0.4950,3.4767
fever,principled_auto,0.3700,0.7517
fever,cacb_B,0.3417,0.3267
fever,se_few5_optimistic_local,0.3500,0.3400
fever,se_few5_local,0.3467,0.2850
fever,se_online_fix_ref_local,0.4683,2.9200
fever,principled_nopca,0.4067,1.1150
fever,self_evolving_local,0.3883,0.7933
fever,se_feedback_cycle3_local,0.3500,0.4733
fever,se_c3_addlat_local,0.4167,1.5800
twexpress,principled_nopca,0.9067,0.7450
twexpress,se_online_decay_ref_local,0.9875,3.1250
twexpress,principled_auto,0.9467,1.2750
twexpress,principled_fbeta,0.9733,1.8500
twexpress,se_100cal_fb_c3_local,0.9783,2.9150
twexpress,self_evolving_local,0.9817,2.9800
twexpress,se_c3_selcum_local,0.9817,3.1550
twexpress,se_few5_filter_local,0.9850,2.8200
twexpress,se_few5_filter_openrouter,0.9867,2.6400
twexpress,se_few5_openrouter,0.9817,2.4600
twexpress,se_feedback_cycle2_openrouter,0.9800,2.6433
twexpress,se_few5flt_or_100cal,0.9817,2.7967
twexpress,se_online_decay_local,0.9900,2.8383
twexpress,principled_online,0.8733,1.2650
twexpress,se_c3_sellat_local,0.9783,2.5300
twexpress,se_online_fix_local,0.9850,2.7633
twexpress,se_few5_local,0.9783,2.8967
twexpress,se_c3_addcum_local,0.9817,2.8350
twexpress,se_c3_addlat_local,0.9867,2.7333
twexpress,se_feedback_cycle3_local,0.9850,2.9683
twexpress,se_online_fix_ref_local,0.9733,2.8950
twexpress,principled_adaptive,0.9917,3.1133
twexpress,principled_v2,0.9733,2.7100
twexpress,self_evolving_openrouter,0.9833,2.7950
twexpress,se_feedback_cycle2_local,0.9867,2.8400
twexpress,se_feedback_cycle3_openrouter,0.9767,2.6717
twexpress,seag,0.9733,2.3033
twexpress,cats,0.9667,1.9717
twexpress,catts,0.9750,2.2617
twexpress,corefine,0.9750,2.2617
twexpress,s1_budget,0.9500,1.0867
twexpress,auq,0.9550,1.2367
plancraft,se_feedback_cycle3_openrouter,0.2717,0.3000
