backbone,env,n,status,perturbation_type,param_value,pos_frac,label_flip_rate,majority_class,majority_flipped,spearman_rho
Qwen3-4B,Plancraft,1360,OK,scale,1.0,,,,,-0.015927642022637602
Qwen3-4B,Plancraft,1360,OK,scale,2.0,,,,,-0.015927642022637602
Phi-3.5-mini,HotpotQA,242,OK,shift,-0.5,0.6033057851239669,0.02066115702479339,pos,False,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,shift,-0.25,0.6074380165289256,0.01652892561983471,pos,False,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,shift,0.0,0.6239669421487604,0.0,pos,False,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,shift,0.25,1.0,0.3760330578512397,pos,False,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,shift,0.5,1.0,0.3760330578512397,pos,False,0.18429932106776092
Phi-3.5-mini,HotpotQA,242,OK,scale,-2.0,,,,,-0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,scale,-1.0,,,,,-0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,scale,-0.5,,,,,-0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,scale,0.5,,,,,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,scale,1.0,,,,,0.1842947351963789
Phi-3.5-mini,HotpotQA,242,OK,scale,2.0,,,,,0.1842947351963789
Phi-3.5-mini,APPS,400,OK,shift,-0.5,0.26,0.0025,neg,False,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,shift,-0.25,0.2625,0.0,neg,False,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,shift,0.0,0.2625,0.0,neg,False,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,shift,0.25,1.0,0.7375,pos,True,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,shift,0.5,1.0,0.7375,pos,True,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,-2.0,,,,,0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,-1.0,,,,,0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,-0.5,,,,,0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,0.5,,,,,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,1.0,,,,,-0.12891931713703264
Phi-3.5-mini,APPS,400,OK,scale,2.0,,,,,-0.12891931713703264
Phi-3.5-mini,WebShop,751,OK,shift,-0.5,0.2237017310252996,0.118508655126498,neg,False,0.33301696633701894
Phi-3.5-mini,WebShop,751,OK,shift,-0.25,0.2609853528628495,0.08122503328894808,neg,False,0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,shift,0.0,0.3422103861517976,0.0,neg,False,0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,shift,0.25,1.0,0.6577896138482024,pos,True,0.33312864418388277
Phi-3.5-mini,WebShop,751,OK,shift,0.5,1.0,0.6577896138482024,pos,True,0.33312864418388277
Phi-3.5-mini,WebShop,751,OK,scale,-2.0,,,,,-0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,scale,-1.0,,,,,-0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,scale,-0.5,,,,,-0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,scale,0.5,,,,,0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,scale,1.0,,,,,0.33493047582157776
Phi-3.5-mini,WebShop,751,OK,scale,2.0,,,,,0.33493047582157776
Phi-3.5-mini,FEVER,824,OK,shift,-0.5,0.14441747572815533,0.019417475728155338,neg,False,-0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,shift,-0.25,0.14927184466019416,0.014563106796116505,neg,False,-0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,shift,0.0,0.1638349514563107,0.0,neg,False,-0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,shift,0.25,1.0,0.8361650485436893,pos,True,-0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,shift,0.5,1.0,0.8361650485436893,pos,True,-0.15576513055812996
Phi-3.5-mini,FEVER,824,OK,scale,-2.0,,,,,0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,scale,-1.0,,,,,0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,scale,-0.5,,,,,0.15576197549536888
Phi-3.5-mini,FEVER,824,OK,scale,0.5,,,,,-0.15576197549536888
