backbone,env,n,status,transform_type,param_value,spearman_rho,pearson_rho
Phi-3.5-mini,WebShop,751,OK,linear_T,1.0,0.33493047582157776,0.38361969516596467
Phi-3.5-mini,WebShop,751,OK,linear_T,2.0,0.33493047582157776,0.38361969516596467
Phi-3.5-mini,WebShop,751,OK,linear_T,5.0,0.33493047582157776,0.3836196951659647
Phi-3.5-mini,WebShop,751,OK,power_alpha,0.5,0.33493047582157776,0.3989168395240029
Phi-3.5-mini,WebShop,751,OK,power_alpha,1.0,0.33493047582157776,0.38361969516140726
Phi-3.5-mini,WebShop,751,OK,power_alpha,2.0,0.33493047582157776,0.3239206959640582
Phi-3.5-mini,WebShop,751,OK,log,log,0.33493047582157776,0.2957986993780873
Phi-3.5-mini,FEVER,824,OK,linear_T,0.5,-0.15576197549536888,-0.15826903573055395
Phi-3.5-mini,FEVER,824,OK,linear_T,1.0,-0.15576197549536888,-0.15826903573055395
Phi-3.5-mini,FEVER,824,OK,linear_T,2.0,-0.15576197549536888,-0.15826903573055395
Phi-3.5-mini,FEVER,824,OK,linear_T,5.0,-0.15576197549536888,-0.15826903573055395
Phi-3.5-mini,FEVER,824,OK,power_alpha,0.5,-0.15576197549536888,-0.1529453579855107
Phi-3.5-mini,FEVER,824,OK,power_alpha,1.0,-0.15576197549536888,-0.15826903575566467
Phi-3.5-mini,FEVER,824,OK,power_alpha,2.0,-0.15576197549536888,-0.156273573863143
Phi-3.5-mini,FEVER,824,OK,log,log,-0.15576197549536888,-0.048819935379493286
Phi-3.5-mini,TWExpress,200,DEAD,,,,
Phi-3.5-mini,Plancraft,2232,DEAD,,,,
Llama-3.1-8B,HotpotQA,244,OK,linear_T,0.5,-0.3455661284779553,-0.34415237089398915
Llama-3.1-8B,HotpotQA,244,OK,linear_T,1.0,-0.3455661284779553,-0.34415237089398915
Llama-3.1-8B,HotpotQA,244,OK,linear_T,2.0,-0.3455661284779553,-0.34415237089398915
Llama-3.1-8B,HotpotQA,244,OK,linear_T,5.0,-0.3455661284779553,-0.34415237089398915
Llama-3.1-8B,HotpotQA,244,OK,power_alpha,0.5,-0.3455661284779553,-0.33150615864473043
Llama-3.1-8B,HotpotQA,244,OK,power_alpha,1.0,-0.3455661284779553,-0.34415237089398915
Llama-3.1-8B,HotpotQA,244,OK,power_alpha,2.0,-0.3455661284779553,-0.3346331949972934
Llama-3.1-8B,HotpotQA,244,OK,log,log,-0.3455661284779553,-0.2881234480247352
Llama-3.1-8B,APPS,475,OK,linear_T,0.5,-0.24164306114565448,-0.216513285090127
Llama-3.1-8B,APPS,475,OK,linear_T,1.0,-0.24164306114565448,-0.216513285090127
Llama-3.1-8B,APPS,475,OK,linear_T,2.0,-0.24164306114565448,-0.216513285090127
Llama-3.1-8B,APPS,475,OK,linear_T,5.0,-0.24164306114565448,-0.216513285090127
Llama-3.1-8B,APPS,475,OK,power_alpha,0.5,-0.24164306114565448,-0.26624946940691985
Llama-3.1-8B,APPS,475,OK,power_alpha,1.0,-0.24164306114565448,-0.216513285090127
Llama-3.1-8B,APPS,475,OK,power_alpha,2.0,-0.24164306114565448,-0.14976106122258562
Llama-3.1-8B,APPS,475,OK,log,log,-0.24164306114565448,-0.3261256680998263
Llama-3.1-8B,WebShop,948,OK,linear_T,0.5,0.28696168850300513,0.29760350193756746
Llama-3.1-8B,WebShop,948,OK,linear_T,1.0,0.28696168850300513,0.29760350193756746
