environment,type,base_sr_pct,always_sr_pct,paper_role
HotpotQA,QA,49.0,97.0,Main
WebShop,Web,7.2,43.0,Main
FEVER,Fact,37.0,99.8,Main
TWExpress,Game,67.5,99.3,Diagnostic (safe)
Plancraft,Planning,29.8,22.8,Diagnostic (harmful)
APPS,Code,60.5,79.5,Appendix
