backbone,environment,method,sr_pct,cost_ro_per_ep
Llama-3.1-8B,FEVER,s1_budget,29.7,1.91
Llama-3.1-8B,FEVER,EAAG,34.7,4.48
Llama-3.1-8B,TWExpress,base_only,36.5,0.00
Llama-3.1-8B,TWExpress,always_trigger,99.5,8.10
Llama-3.1-8B,TWExpress,oracle,99.0,1.12
Llama-3.1-8B,TWExpress,CATTS,100.0,7.25
Llama-3.1-8B,TWExpress,SEAG,100.0,6.62
Llama-3.1-8B,TWExpress,EAAG,94.8,5.96
Llama-3.1-8B,Plancraft,base_only,31.7,0.00
Llama-3.1-8B,Plancraft,always_trigger,18.7,6.62
Llama-3.1-8B,Plancraft,oracle,18.3,0.10
Llama-3.1-8B,Plancraft,CATTS,25.3,1.88
Llama-3.1-8B,Plancraft,SEAG,26.0,1.76
Llama-3.1-8B,Plancraft,CoRefine,25.5,1.71
Llama-3.1-8B,Plancraft,CaTS,17.3,2.44
Llama-3.1-8B,Plancraft,AUQ,18.5,6.49
Llama-3.1-8B,Plancraft,s1_budget,14.8,1.62
Llama-3.1-8B,Plancraft,EAAG,27.0,1.56
Llama-3.1-8B,APPS,base_only,60.2,0.00
Llama-3.1-8B,APPS,always_trigger,79.5,2.32
Llama-3.1-8B,APPS,oracle,79.5,0.28
Llama-3.1-8B,APPS,CATTS,61.2,0.57
Llama-3.1-8B,APPS,SEAG,60.8,1.11
Llama-3.1-8B,APPS,CoRefine,62.3,1.09
Llama-3.1-8B,APPS,CaTS,60.0,0.97
Llama-3.1-8B,APPS,AUQ,55.5,3.21
Llama-3.1-8B,APPS,s1_budget,48.7,1.00
Llama-3.1-8B,APPS,EAAG,59.7,2.70
Qwen3-4B,HotpotQA,CaTS,93.2,1.06
Qwen3-4B,APPS,CaTS,59.0,0.04
Qwen3-4B,WebShop,CaTS,30.5,3.05
Qwen3-4B,FEVER,CaTS,50.2,4.71
Qwen3-4B,HotpotQA,SEAG,67.5,0.80
Qwen3-4B,APPS,SEAG,58.5,0.01
Qwen3-4B,WebShop,SEAG,28.0,2.28
Qwen3-4B,FEVER,SEAG,49.3,3.12
Qwen3-4B,HotpotQA,CoRefine,68.2,0.79
Qwen3-4B,APPS,CoRefine,58.5,0.01
Qwen3-4B,WebShop,CoRefine,27.5,2.21
Qwen3-4B,FEVER,CoRefine,49.8,3.12
Qwen3-4B,HotpotQA,CATTS,68.3,1.07
Qwen3-4B,APPS,CATTS,58.5,0.03
Qwen3-4B,WebShop,CATTS,16.0,0.19
Qwen3-4B,FEVER,CATTS,34.2,0.06
Qwen3-4B,HotpotQA,AUQ,97.0,1.69
Qwen3-4B,APPS,AUQ,61.3,1.73
Qwen3-4B,WebShop,AUQ,35.7,5.33
Qwen3-4B,FEVER,AUQ,40.7,1.17
Qwen3-4B,HotpotQA,s1_budget,97.0,1.04
Qwen3-4B,APPS,s1_budget,63.7,1.00
Qwen3-4B,WebShop,s1_budget,7.8,1.00
Qwen3-4B,FEVER,s1_budget,46.2,1.58
Qwen3-4B,TWExpress,CaTS,96.7,1.97
Qwen3-4B,TWExpress,SEAG,97.3,2.30
Qwen3-4B,TWExpress,CoRefine,97.5,2.26
Qwen3-4B,TWExpress,CATTS,97.5,2.26
Qwen3-4B,TWExpress,AUQ,95.5,1.24
Qwen3-4B,TWExpress,s1_budget,95.0,1.09
Qwen3-4B,Plancraft,CaTS,22.3,4.39
Qwen3-4B,Plancraft,SEAG,24.8,2.16
Qwen3-4B,Plancraft,CoRefine,22.8,2.06
Qwen3-4B,Plancraft,CATTS,25.0,2.14
Qwen3-4B,Plancraft,AUQ,24.2,6.78
Qwen3-4B,Plancraft,s1_budget,18.3,1.68
Qwen3-4B,APPS,CaTS,66.2,0.54
Qwen3-4B,APPS,SEAG,66.0,0.64
Qwen3-4B,APPS,CoRefine,67.5,0.62
Qwen3-4B,APPS,CATTS,60.8,0.02
Qwen3-4B,APPS,AUQ,64.7,1.08
Qwen3-4B,APPS,s1_budget,69.0,1.00
Qwen3-4B,HotpotQA,SCG,96.8,1.09
Qwen3-4B,APPS,SCG,58.8,0.19
Qwen3-4B,WebShop,SCG,43.0,1.47
Qwen3-4B,FEVER,SCG,98.0,0.99
Qwen3-4B,TWExpress,SCG,97.0,1.38
