n_cal,env,method,seed,status,success_rate,avg_reward,rollout_rate,avg_rollouts_per_ep,total_rollouts,total_decisions,n_episodes,elapsed_seconds,gate_threshold,gate_signal,gate_direction,gate_buffer_size,summary_path
200,webshop,cats,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,734.4815943241119,,confidence,learned_single_signal,90,results/phase_b_calibration_sweep/n_cal_200/webshop/cats/seed_42/summary.json
200,webshop,auq,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,741.3410322666168,0.9415599274912548,verbalized_confidence,negative_fixed,90,results/phase_b_calibration_sweep/n_cal_200/webshop/auq/seed_42/summary.json
200,webshop,s1_budget,42,OK,0.0,0.0,0.06666666666666667,1.0,30,450,30,274.62552547454834,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_200/webshop/s1_budget/seed_42/summary.json
500,hotpotqa,catts,42,OK,0.5333333333333333,0.5333333333333333,0.005813953488372093,0.03333333333333333,1,172,30,145.9553587436676,0.003960274717211733,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/catts/seed_42/summary.json
500,hotpotqa,seag,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/seag/seed_42/summary.json
500,hotpotqa,corefine,42,OK,0.6666666666666666,0.6666666666666666,0.31343283582089554,1.4,42,134,30,133.2508749961853,0.003960274717211733,token_entropy,positive_fixed,42,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/corefine/seed_42/summary.json
500,hotpotqa,cats,42,OK,0.9666666666666667,0.9666666666666667,0.8627450980392157,1.4666666666666666,44,51,30,88.842365026474,,confidence,learned_single_signal,44,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/cats/seed_42/summary.json
500,hotpotqa,auq,42,OK,0.9666666666666667,0.9666666666666667,0.96,1.6,48,50,30,105.5429253578186,0.9960475568992198,verbalized_confidence,negative_fixed,48,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/auq/seed_42/summary.json
500,hotpotqa,s1_budget,42,OK,0.9666666666666667,0.9666666666666667,0.6078431372549019,1.0333333333333334,31,51,30,54.570444107055664,2,fixed_budget,none,31,results/phase_b_calibration_sweep/n_cal_500/hotpotqa/s1_budget/seed_42/summary.json
500,fever,catts,42,OK,0.3,0.3,0.005405405405405406,0.03333333333333333,1,185,30,160.4062888622284,1.3147591313940725e-05,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_500/fever/catts/seed_42/summary.json
500,fever,seag,42,OK,0.36666666666666664,0.36666666666666664,0.5028901734104047,2.9,87,173,30,203.64239931106567,0.9999868524951204,confidence,negative_fixed,87,results/phase_b_calibration_sweep/n_cal_500/fever/seag/seed_42/summary.json
500,fever,corefine,42,OK,0.36666666666666664,0.36666666666666664,0.49710982658959535,2.8666666666666667,86,173,30,194.1095895767212,1.3147591313940725e-05,token_entropy,positive_fixed,86,results/phase_b_calibration_sweep/n_cal_500/fever/corefine/seed_42/summary.json
500,fever,cats,42,OK,0.3333333333333333,0.3333333333333333,0.872093023255814,5.0,150,172,30,270.40603017807007,,confidence,learned_single_signal,150,results/phase_b_calibration_sweep/n_cal_500/fever/cats/seed_42/summary.json
500,fever,auq,42,OK,0.36666666666666664,0.36666666666666664,0.7514450867052023,4.333333333333333,130,173,30,280.910795211792,0.9999868524951204,verbalized_confidence,negative_fixed,130,results/phase_b_calibration_sweep/n_cal_500/fever/auq/seed_42/summary.json
500,fever,s1_budget,42,OK,0.3333333333333333,0.3333333333333333,0.2777777777777778,1.6666666666666667,50,180,30,110.92727518081665,2,fixed_budget,none,50,results/phase_b_calibration_sweep/n_cal_500/fever/s1_budget/seed_42/summary.json
500,apps,catts,42,OK,0.7,0.8386666666666667,0.012048192771084338,0.03333333333333333,1,83,30,151.58210611343384,0.016411521343193753,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_500/apps/catts/seed_42/summary.json
500,apps,seag,42,OK,0.7,0.9920000000000001,0.07317073170731707,0.2,6,82,30,89.01178431510925,0.9837224147111551,confidence,negative_fixed,6,results/phase_b_calibration_sweep/n_cal_500/apps/seag/seed_42/summary.json
500,apps,corefine,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_500/apps/corefine/seed_42/summary.json
500,apps,cats,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_500/apps/cats/seed_42/summary.json
500,apps,auq,42,OK,0.7,1.108,0.9733333333333334,2.433333333333333,73,75,30,1144.324313879013,0.9837224147111551,verbalized_confidence,negative_fixed,73,results/phase_b_calibration_sweep/n_cal_500/apps/auq/seed_42/summary.json
500,apps,s1_budget,42,OK,0.6666666666666666,1.0893333333333333,0.38461538461538464,1.0,30,78,30,804.1517407894135,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_500/apps/s1_budget/seed_42/summary.json
500,webshop,catts,42,OK,0.0,0.0,0.0,0.0,0,450,30,640.2703351974487,0.06055844658496787,vote_entropy,positive_fixed,0,results/phase_b_calibration_sweep/n_cal_500/webshop/catts/seed_42/summary.json
500,webshop,seag,42,OK,0.0,0.0,0.0,0.0,0,450,30,110.25576281547546,0.9412387553142868,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_500/webshop/seag/seed_42/summary.json
500,webshop,corefine,42,OK,0.0,0.0,0.0,0.0,0,450,30,114.53925967216492,0.06055844658496787,token_entropy,positive_fixed,0,results/phase_b_calibration_sweep/n_cal_500/webshop/corefine/seed_42/summary.json
500,webshop,cats,42,OK,0.0,0.0,0.0,0.0,0,450,30,109.98881411552429,,confidence,learned_single_signal,0,results/phase_b_calibration_sweep/n_cal_500/webshop/cats/seed_42/summary.json
500,webshop,auq,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,747.9390671253204,0.9412387553142868,verbalized_confidence,negative_fixed,90,results/phase_b_calibration_sweep/n_cal_500/webshop/auq/seed_42/summary.json
500,webshop,s1_budget,42,OK,0.0,0.0,0.06666666666666667,1.0,30,450,30,282.2823588848114,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_500/webshop/s1_budget/seed_42/summary.json
